brand,outbound_tweets,outbound_replies,reply_ratio_pct,inbound_customer_mentions,inbound_tweets_answered,usable_interactions,metric_quality
AmazonHelp,169840,169287,99.67,135160,154976,168814,exact
AppleSupport,106860,106719,99.87,97896,106623,106646,exact
Uber_Support,56270,56261,99.98,46624,55182,56160,exact
SpotifyCares,43265,43243,99.95,31353,41585,43092,exact
Delta,42253,42197,99.87,44836,36134,42114,exact
Tesco,38573,38501,99.81,33964,25282,38468,exact
AmericanAir,36764,36598,99.55,49516,36457,36531,exact
TMobileHelp,34317,34287,99.91,21964,33837,34215,exact
comcastcares,33031,33007,99.93,23278,30369,32921,exact
British_Airways,29361,29315,99.84,30856,24084,29290,exact
SouthwestAir,28977,28889,99.7,35106,28285,28828,exact
VirginTrains,27817,27522,98.94,37396,26272,27416,exact
Ask_Spectrum,25860,25807,99.8,23676,24976,25617,exact
XboxSupport,24557,24341,99.12,28124,20213,23235,exact
sprintcare,22381,22335,99.79,13746,20026,22209,exact
hulu_support,21872,21783,99.59,18615,21468,21681,exact
sainsburys,19466,19417,99.75,22862,17717,19399,exact
GWRHelp,19364,19294,99.64,27021,18506,19237,exact
AskPlayStation,19098,18694,97.88,22263,18650,18675,exact
ChipotleTweets,18749,18612,99.27,21815,18565,18599,exact
VerizonSupport,17966,17851,99.36,17929,17534,17805,exact
UPSHelp,17817,17772,99.75,14653,17601,17762,exact
ATVIAssist,17650,17531,99.33,24741,16879,17514,exact
O2,16212,16091,99.25,19435,15952,16069,exact
Safaricom_Care,16077,15471,96.23,17274,13881,15441,exact
